	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_100	10-TaxaFilter_100	11-MultipletonsFilter_100	12-Subsampling_100	13-Lulu_100	14-RareSeqsFilter_100
D_TR_1_T0N	35174	24560	24560	24560 (9263 uniques)	23616 (200 uniques)	22726 (175 uniques)	22686 (166 uniques)	22553 (151 uniques)	22553 (151 uniques)	22553 (151 uniques)	22553 (151 uniques)	22503 (147 uniques)	22503 (147 uniques)	8000 (133 uniques)	8000 (114 uniques)	7985 (102 uniques)
D_TR_1_TFD	32992	23865	23865	23865 (9100 uniques)	23114 (199 uniques)	22326 (193 uniques)	22326 (187 uniques)	22184 (170 uniques)	22184 (170 uniques)	22184 (170 uniques)	22184 (170 uniques)	22104 (162 uniques)	22104 (162 uniques)	8000 (156 uniques)	8000 (138 uniques)	7994 (134 uniques)
D_TR_1_TFN	24831	17558	17558	17558 (5381 uniques)	17286 (97 uniques)	16931 (93 uniques)	16915 (88 uniques)	16790 (82 uniques)	16790 (82 uniques)	16790 (82 uniques)	16790 (82 uniques)	16790 (82 uniques)	16789 (81 uniques)	8000 (79 uniques)	8000 (71 uniques)	7998 (70 uniques)
D_TR_2_T0D	41227	30234	30234	30234 (14210 uniques)	28412 (326 uniques)	26727 (291 uniques)	26727 (271 uniques)	26636 (255 uniques)	26636 (255 uniques)	26636 (255 uniques)	26636 (255 uniques)	26071 (243 uniques)	26071 (243 uniques)	8000 (223 uniques)	8000 (203 uniques)	7985 (192 uniques)
D_TR_2_T0N	44524	31041	31041	31041 (11706 uniques)	29771 (243 uniques)	28579 (204 uniques)	28563 (196 uniques)	28420 (177 uniques)	28420 (177 uniques)	28420 (177 uniques)	28420 (177 uniques)	28418 (176 uniques)	28417 (175 uniques)	8000 (154 uniques)	8000 (135 uniques)	7984 (120 uniques)
D_TR_2_TFD	24560	17816	17816	17816 (6996 uniques)	17202 (175 uniques)	16648 (175 uniques)	16648 (170 uniques)	16523 (149 uniques)	16523 (149 uniques)	16523 (149 uniques)	16523 (149 uniques)	16426 (143 uniques)	16426 (143 uniques)	8000 (139 uniques)	8000 (124 uniques)	7989 (117 uniques)
D_TR_2_TFN	34595	23325	23325	23325 (8276 uniques)	22808 (159 uniques)	22048 (139 uniques)	22012 (134 uniques)	21890 (127 uniques)	21890 (127 uniques)	21890 (127 uniques)	21890 (127 uniques)	21850 (121 uniques)	21850 (121 uniques)	8000 (115 uniques)	8000 (104 uniques)	7987 (95 uniques)
D_TR_3_TFD	36062	25277	25277	25277 (9409 uniques)	24588 (192 uniques)	23816 (191 uniques)	23816 (186 uniques)	23702 (177 uniques)	23702 (177 uniques)	23702 (177 uniques)	23702 (177 uniques)	23673 (172 uniques)	23673 (172 uniques)	8000 (159 uniques)	8000 (139 uniques)	7990 (131 uniques)
D_TR_3_TFN	31183	21593	21593	21593 (8687 uniques)	20829 (187 uniques)	20034 (171 uniques)	20034 (166 uniques)	19808 (150 uniques)	19808 (150 uniques)	19808 (150 uniques)	19808 (150 uniques)	19784 (147 uniques)	19784 (147 uniques)	8000 (144 uniques)	8000 (128 uniques)	7994 (124 uniques)
D_TR_4_TFD	31735	22915	22915	22915 (8533 uniques)	22309 (174 uniques)	21509 (160 uniques)	21509 (154 uniques)	21422 (144 uniques)	21422 (144 uniques)	21422 (144 uniques)	21422 (144 uniques)	21404 (140 uniques)	21403 (139 uniques)	8000 (128 uniques)	8000 (111 uniques)	7997 (108 uniques)
D_TR_4_TFN	45210	32982	32982	32982 (11186 uniques)	32247 (199 uniques)	31360 (183 uniques)	31320 (177 uniques)	31116 (162 uniques)	31116 (162 uniques)	31116 (162 uniques)	31116 (162 uniques)	31102 (159 uniques)	31102 (159 uniques)	8000 (148 uniques)	8000 (131 uniques)	7983 (115 uniques)
