OTU	Size	Taxonomy
Otu0149	1063	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0150	1008	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0151	938	Bacteria;Proteobacteria;Gammaproteobacteria;SAR86_clade;SAR86_clade_fa;SAR86_clade_ge;
Otu0153	1095	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Lentilitoribacter;
Otu0157	873	Bacteria;Proteobacteria;Gammaproteobacteria;SAR86_clade;SAR86_clade_fa;SAR86_clade_ge;
Otu0159	978	Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium_PCC-6307;
Otu0160	948	Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacteraceae_unclassified;
Otu0161	814	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella;
Otu0162	877	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11_clade;Clade_I;Clade_Ib;
Otu0163	871	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4_marine_group;
Otu0164	981	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0166	884	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas;
Otu0167	892	Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116_clade;SAR116_clade_ge;
Otu0168	871	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;NS9_marine_group;NS9_marine_group_ge;
Otu0169	769	Bacteria;Verrucomicrobia;Verrucomicrobiae;Arctic97B-4_marine_group;Arctic97B-4_marine_group_fa;Arctic97B-4_marine_group_ge;
Otu0170	795	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0171	948	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tropicibacter;
Otu0172	780	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11_clade;Clade_IV;Clade_IV_ge;
Otu0173	923	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonadaceae_unclassified;
Otu0174	1030	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;
Otu0175	775	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0176	775	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
Otu0177	910	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;
Otu0178	901	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Shimia;
Otu0179	783	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;uncultured;
Otu0180	864	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0181	825	Bacteria;Patescibacteria;Gracilibacteria;JGI_0000069-P22;JGI_0000069-P22_fa;JGI_0000069-P22_ge;
Otu0182	809	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0183	800	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;uncultured;
Otu0184	736	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;
Otu0186	852	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Cohaesibacter;
Otu0189	900	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
Otu0190	651	Bacteria;Proteobacteria;Gammaproteobacteria;OM182_clade;OM182_clade_fa;OM182_clade_ge;
Otu0192	671	Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;uncultured_fa;uncultured_ge;
Otu0194	525	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_unclassified;
Otu0198	743	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0199	708	Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;
Otu0200	670	Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;uncultured;
Otu0201	735	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassobius;
Otu0202	752	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassobius;
Otu0203	637	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0204	664	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;
Otu0205	612	Bacteria;Proteobacteria;Gammaproteobacteria;SAR86_clade;SAR86_clade_fa;SAR86_clade_ge;
Otu0206	805	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
Otu0207	572	Archaea;Euryarchaeota;Thermoplasmata;Marine_Group_II;Marine_Group_II_fa;Marine_Group_II_ge;
Otu0209	600	Bacteria;Marinimicrobia_(SAR406_clade);Marinimicrobia_(SAR406_clade)_cl;Marinimicrobia_(SAR406_clade)_or;Marinimicrobia_(SAR406_clade)_fa;Marinimicrobia_(SAR406_clade)_ge;
Otu0210	577	Archaea;Euryarchaeota;Thermoplasmata;Marine_Group_II;Marine_Group_II_fa;Marine_Group_II_ge;
Otu0212	619	Bacteria;Proteobacteria;Gammaproteobacteria;SAR86_clade;SAR86_clade_fa;SAR86_clade_ge;
Otu0214	592	Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116_clade;SAR116_clade_ge;
Otu0216	606	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11_clade;Clade_I;Clade_Ib;
Otu0217	581	Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116_clade;SAR116_clade_ge;
Otu0218	572	Bacteria;Verrucomicrobia;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;SCGC_AAA164-E04;
Otu0219	580	Bacteria;Proteobacteria;Gammaproteobacteria;SAR86_clade;SAR86_clade_fa;SAR86_clade_ge;
Otu0220	614	Bacteria;Chloroflexi;Dehalococcoidia;SAR202_clade;SAR202_clade_fa;SAR202_clade_ge;
Otu0221	662	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Mesoflavibacter;
Otu0222	726	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0223	606	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Aestuariibacter;
Otu0224	743	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Neptuniibacter;
Otu0227	539	Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Rhodopirellula;
Otu0228	586	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;
Otu0229	566	Bacteria;Verrucomicrobia;Verrucomicrobiae;Arctic97B-4_marine_group;Arctic97B-4_marine_group_fa;Arctic97B-4_marine_group_ge;
Otu0231	495	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;
Otu0235	537	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4_marine_group;
Otu0236	554	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas;
Otu0238	670	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0239	476	Bacteria;Proteobacteria;Gammaproteobacteria;SAR86_clade;SAR86_clade_fa;SAR86_clade_ge;
Otu0240	558	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0242	523	Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996_marine_group;
Otu0243	495	Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116_clade;SAR116_clade_ge;
Otu0244	532	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Catenococcus;
Otu0246	494	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;uncultured;
Otu0247	528	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Catenococcus;
Otu0248	529	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;
Otu0249	479	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
