Organism,network,molnet_string,modeled_lability,activity,log2_change,N,P,C,NOSC
Pocillopora verrucosa,1969,"Organic compounds;Alkaloids and derivatives;Lupin alkaloids;Amino acids, peptides, and analogues",-3.8901778114413705,depletolite,-12.04436159717145,3,0,20.5,-1.2572463768115942
Pocillopora verrucosa,2035,Organic compounds;Organoheterocyclic compounds;Phenols;nan,-3.777449644815801,depletolite,-2.679166036908919,3.25,0.5,13.75,-0.91875
Pocillopora verrucosa,2108,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;Vitamin D and derivatives,-4.141904908350557,depletolite,-3.3347967123838465,6,0,24,-0.75
Pocillopora verrucosa,2117,Organic compounds;Phenylpropanoids and polyketides;Macrolactams;nan,-3.1319813152385114,depletolite,-9.591384955075597,1,1,20,-1.5
Pocillopora verrucosa,2237,Organic compounds;Organoheterocyclic compounds;Phenol ethers;nan,-4.512756092214488,depletolite,-11.08671218198867,10.5,1,18,-0.75
Pocillopora verrucosa,2248,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-3.745206477807119,depletolite,-1.0419940441844724,2,0,21,-0.7142857142857144
Pocillopora verrucosa,2261,Organic compounds;Organoheterocyclic compounds;Tetrahydroisoquinolines;nan,-2.973399091226214,depletolite,-4.0839420646358935,1,0,11.666666666666666,-0.3989898989898988
Pocillopora verrucosa,2292,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Eicosanoids,-499.9633991760579,depletolite,-3.4398276518751834,0,0,20,-1.2000000000000002
Pocillopora verrucosa,2393,Organic compounds;Benzenoids;Phenol ethers;nan,-3.3381992815900423,depletolite,-6.761690354904889,1.5,0,19,-1.1805555555555554
Pocillopora verrucosa,3585,Organic compounds;Organoheterocyclic compounds;Pyrrolidines;nan,-2.882050335985393,depletolite,-4.157455454326301,1,0,16,-1.625
