feature_number,DayNight,CCA_log2_change,CCA_log2_sizing,CCA_xic,Dictyota_log2_change,Dictyota_log2_sizing,Dictyota_xic,Pocillopora verrucosa_log2_change,Pocillopora verrucosa_log2_sizing,Pocillopora verrucosa_xic,Porites lobata_log2_change,Porites lobata_log2_sizing,Porites lobata_xic,Turf_log2_change,Turf_log2_sizing,Turf_xic,Water control_log2_change,Water control_log2_sizing,Water control_xic,Organism,post_filtering,network,net_act,net_activity,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
4134,Day,-0.6027702595966029,-0.6027702595966029,3882092.200689451,1.2622630689196472,-0.6027702595966029,799868.6377656222,-0.23748852897926978,-0.6027702595966029,4670890.8058515545,-0.29098435692878977,-0.6027702595966029,6437012.237443356,0.13550613721438864,-0.6027702595966029,3292513.5378339877,0.22846566247135566,-0.6027702595966029,4920099.430816413,NA,NA,247,247,recalcitrant,Carbohydrates and carbohydrate conjugates,0.75,subclass,4,Library
4135,Day,-6.6,-6.6,83948.18443359653,-3.442558031046855,-6.6,320804.24008593644,0,-6.6,0,-2.93876395011618,-6.6,106651.94603125416,-6.6,-6.6,123569.9485312562,-3.1300332760275604,-6.6,136421.8510976577,NA,NA,2152,2152,recalcitrant,Lipids and lipid-like molecules,1.1,superclass,4,Insilico
4136,Day,0,-6.6,0,0,-6.6,0,-6.6,-6.6,2616793.5569336168,-6.6,-6.6,4955445.746328151,0,-6.6,0,0,-6.6,0,"Porites lobata, Pocillopora verrucosa",1,21,21,depletolite,Fatty acid esters,1,subclass,21,Library
4137,Day,-1.6501980587778988,-1.6501980587778988,17188158.12789063,-0.08275334105500565,-1.6501980587778988,24325902.16175389,0.09644236022616251,-1.6501980587778988,2903278.93965236,-1.6493871091651846,-1.6501980587778988,10444025.013398439,0.7683366267040661,-1.6501980587778988,5374428.436214844,0.19206287925180918,-1.6501980587778988,2709809.7328242348,NA,NA,945,945,recalcitrant,Fatty acids and conjugates,1,subclass,1,Library
414,Day,-2.6081659062072573,-3.295247222753715,52775703.231824115,-1.7120537268540525,-3.295247222753715,66047654.07405548,-1.1257595249639454,-3.295247222753715,17595240.838555068,-3.295247222753715,-3.295247222753715,44906115.12972337,-2.644576317747344,-3.295247222753715,60581543.88437279,-2.231781816891452,-3.295247222753715,35069816.03223474,NA,NA,107,107,NA,Lipids and lipid-like molecules,0.5555555555555556,superclass,9,Library
4141,Day,-0.48252989598752055,-1.9614324915638828,10492928.156183587,0.5623407974766212,-1.9614324915638828,12309735.09533595,-1.9614324915638828,-1.9614324915638828,6711853.8732402325,-0.717391659888365,-1.9614324915638828,2619784.4989609243,0.21549947134018738,-1.9614324915638828,1836803.7632734356,0.9958043030321074,-1.9614324915638828,2283858.3557382952,NA,NA,1374,1374,recalcitrant,NA,NA,NA,NA,NA
4142,Day,-1.4286106674219312,-3.22580737868928,359869.8103925774,0.48976231931652614,-3.22580737868928,2223267.9795703203,-0.8689023867853407,-3.22580737868928,683405.1597031237,-0.30159041329201725,-3.22580737868928,368280.3814140644,-3.22580737868928,-3.22580737868928,113085.76326953052,0.07908302853775738,-3.22580737868928,555010.5305195283,NA,NA,199,199,recalcitrant,Organic acids and derivatives,0.6338028169014085,superclass,71,Insilico
4143,Day,0.04664530169895478,-1.5993508031919945,727056.4781386775,0.09651159340352719,-1.5993508031919945,1108609.5036035175,0.4062822153515149,-1.5993508031919945,934286.1424726495,-0.3118865799860674,-1.5993508031919945,2676139.103699217,-1.100528604779751,-1.5993508031919945,2318316.22933984,-1.5993508031919945,-1.5993508031919945,3239186.06317969,NA,NA,1652,1652,NA,NA,NA,NA,NA,NA
4144,Day,3.232395227216858,-1.1968857924840217,512655.9040742195,-1.1968857924840217,-1.1968857924840217,4576398.408359369,-0.03365987754599942,-1.1968857924840217,1404478.1835898375,-1.1860753416459802,-1.1968857924840217,4608967.77300976,0.9174980528478309,-1.1968857924840217,1302008.8214296815,-0.546744746760851,-1.1968857924840217,4208897.153121103,NA,NA,21,21,depletolite,Fatty acid esters,1,subclass,21,Library
4145,Day,-1.069932026821581,-4.6248880638028815,4555262.3830507435,-1.5229310286333448,-4.6248880638028815,6949784.926128903,-2.3498174399748644,-4.6248880638028815,4940241.19762497,-4.6248880638028815,-4.6248880638028815,4809805.831390714,-2.1545166299491934,-4.6248880638028815,2995677.110624967,-2.5871660642842143,-4.6248880638028815,2994762.9655546276,NA,NA,-1,-4145,NA,NA,NA,NA,NA,NA
