feature_number,Organism,T0,TF,log2_change,network,N,P,C,O,H,NOSC,row m/z,n_presence,nc,oc,hc,log_nc,log_oc,log_hc,logxic,log_snc,log_soc,log_shc,ra,ra_mean
6492,CCA,1601052.721029331,3996840.960854467,1.2423181829603438,-1,3,0,22,6,35,-0.6363636363636367,476.2130079125206,1,0.13636363636363635,0.2727272727272727,1.5909090909090908,-0.8653014261025438,-0.5642714304385626,0.2016453635280694,6.204405633028067,5.339104206925523,5.640134202589504,6.406050996556136,NA,1.5691631514648055e-4
6492,Dictyota,3382720.8366016117,8731467.949480455,1.3435294993642237,-1,3,0,22,6,35,-0.6363636363636367,476.2130079125206,1,0.13636363636363635,0.2727272727272727,1.5909090909090908,-0.8653014261025438,-0.5642714304385626,0.2016453635280694,6.529266158554744,5.6639647324522,5.9649947281161815,6.730911522082813,NA,1.0420587535004475e-4
6492,Porites lobata,6216258.617625084,10165494.300150413,0.5334113892133819,-1,3,0,22,6,35,-0.6363636363636367,476.2130079125206,1,0.13636363636363635,0.2727272727272727,1.5909090909090908,-0.8653014261025438,-0.5642714304385626,0.2016453635280694,6.793529074304939,5.928227648202395,6.229257643866376,6.9951744378330085,NA,4.880418475368785e-4
6492,Turf,844219.4130039199,4333236.519474574,2.139006479105304,-1,3,0,22,6,35,-0.6363636363636367,476.2130079125206,1,0.13636363636363635,0.2727272727272727,1.5909090909090908,-0.8653014261025438,-0.5642714304385626,0.2016453635280694,5.926455334626661,5.061153908524117,5.3621839041880985,6.12810069815473,NA,5.6752174175230826e-5
6563,Dictyota,3051663.0610820446,7233491.311788074,1.1706951128569434,-1,1,0,12,4,21,-0.833333333333333,244.15454363747358,1,0.08333333333333333,0.3333333333333333,1.75,-1.0791812460476249,-0.47712125471966244,0.24303804868629444,6.484536580793062,5.405355334745437,6.007415326073399,6.727574629479356,NA,9.526619189915156e-5
6570,Turf,1196130.5579453064,1280397.6285253935,0.07076428853825967,930,2,1,17,9,27,-0.47058823529411775,435.15044372626306,1,0.11764705882352941,0.5294117647058824,1.588235294117647,-0.9294189257142927,-0.27620641193894907,0.20091484278071337,6.0777785855893995,5.148359659875107,5.801572173650451,6.278693428370112,NA,7.914500349740389e-5
6573,CCA,52790373.969519556,38445856.156901374,-0.5865052977809417,1988,2,0,13,3,16,-0.3076923076923075,249.1235619999696,1,0.15384615384615385,0.23076923076923078,1.2307692307692308,-0.8129133566428556,-0.6368220975871743,0.09017663034908803,7.722554738574618,6.909641381931762,7.085732640987444,7.812731368923706,NA,0.005261812109009794
6573,Pocillopora verrucosa,28163341.003970712,35611842.40403125,-0.01271821781424104,1988,2,0,13,3,16,-0.3076923076923075,249.1235619999696,1,0.15384615384615385,0.23076923076923078,1.2307692307692308,-0.8129133566428556,-0.6368220975871743,0.09017663034908803,7.449684173677482,6.636770817034626,6.812862076090307,7.53986080402657,NA,7.181824241041387e-4
6573,Porites lobata,32136673.125345714,47799321.26373925,0.562106667283397,1988,2,0,13,3,16,-0.3076923076923075,249.1235619999696,1,0.15384615384615385,0.23076923076923078,1.2307692307692308,-0.8129133566428556,-0.6368220975871743,0.09017663034908803,7.507000915423941,6.694087558781085,6.870178817836766,7.597177545773029,NA,0.0023340303143593033
6573,Turf,60516893.19706252,23591062.640946314,-2.0091225803583614,1988,2,0,13,3,16,-0.3076923076923075,249.1235619999696,1,0.15384615384615385,0.23076923076923078,1.2307692307692308,-0.8129133566428556,-0.6368220975871743,0.09017663034908803,7.7818766242089525,6.968963267566098,7.145054526621778,7.872053254558041,NA,0.004019210244380656
6598,CCA,2944343.4162480664,1897742.0541152277,-1.4854328910824042,-1,2,0,17,6,23,-0.2941176470588234,352.15998898518825,1,0.11764705882352941,0.35294117647058826,1.3529411764705883,-0.9294189257142927,-0.45229767099463025,0.13127891463931898,6.468988462962822,5.539569537248529,6.016690791968192,6.600267377602141,NA,3.042947463418228e-4
6598,Dictyota,4932942.078853562,10688042.820845766,0.13129511862471294,-1,2,0,17,6,23,-0.2941176470588234,352.15998898518825,1,0.11764705882352941,0.35294117647058826,1.3529411764705883,-0.9294189257142927,-0.45229767099463025,0.13127891463931898,6.693106016134761,5.763687090420469,6.240808345140131,6.82438493077408,NA,1.5663982213927157e-4
6598,Pocillopora verrucosa,2061887.9216718953,7547197.207648453,1.7787723956485895,-1,2,0,17,6,23,-0.2941176470588234,352.15998898518825,1,0.11764705882352941,0.35294117647058826,1.3529411764705883,-0.9294189257142927,-0.45229767099463025,0.13127891463931898,6.314265054583613,5.384846128869321,5.861967383588983,6.445543969222932,NA,5.00531064573994e-5
6598,Porites lobata,1362335.3997460944,2451761.880355468,0.4056096569256077,-1,2,0,17,6,23,-0.2941176470588234,352.15998898518825,1,0.11764705882352941,0.35294117647058826,1.3529411764705883,-0.9294189257142927,-0.45229767099463025,0.13127891463931898,6.13428404173745,5.204865116023157,5.68198637074282,6.265562956376769,NA,1.0963091530106886e-4
