feature_number,ecoNetConsensus,net_act,Day_CCA,Day_Dictyota,Day_Pocillopora verrucosa,Day_Porites lobata,Day_Turf,Night_CCA,Night_Dictyota,Night_Pocillopora verrucosa,Night_Porites lobata,Night_Turf,Daysum,Nightsum,DayNight_night,activity_night,DayNight_day,activity_day
10348,NA,-10348,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,Night,recalcitrant,NA,NA
10349,NA,6040,NA,6.58740556794022,NA,NA,NA,NA,NA,NA,NA,NA,6.58740556794022,0,Night,recalcitrant,Day,recalcitrant
10350,Lipids and lipid-like molecules,74,NA,5.898027188369339,NA,NA,NA,NA,NA,NA,NA,NA,5.898027188369339,0,Night,recalcitrant,Day,recalcitrant
10352,NA,-10352,NA,5.987400732822543,NA,NA,NA,NA,NA,NA,NA,NA,5.987400732822543,0,Night,recalcitrant,Day,recalcitrant
10353,Organic acids and derivatives,437,6.045986584791058,6.38032248335039,NA,NA,5.389471261754118,NA,5.4235024546418575,0,NA,NA,17.815780329895567,5.4235024546418575,Night,recalcitrant,Day,depletolite
10354,Organic acids and derivatives,3596,NA,6.676554532380429,NA,NA,NA,NA,NA,NA,NA,NA,6.676554532380429,0,Night,recalcitrant,Day,recalcitrant
10356,NA,688,NA,NA,NA,NA,NA,NA,3.244006845211432,NA,NA,NA,0,3.244006845211432,Night,recalcitrant,Day,recalcitrant
10357,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,247,NA,6.148705908710175,NA,NA,NA,NA,NA,NA,NA,NA,6.148705908710175,0,Night,recalcitrant,Day,recalcitrant
10358,NA,-10358,NA,6.9265033109744225,NA,NA,NA,NA,NA,NA,NA,NA,6.9265033109744225,0,Night,recalcitrant,Day,recalcitrant
10362,NA,-10362,NA,6.350979910200863,NA,NA,NA,NA,NA,NA,NA,NA,6.350979910200863,0,NA,NA,Day,recalcitrant
10368,NA,-10368,NA,6.632819921949317,NA,NA,NA,NA,5.83706494653114,NA,NA,NA,6.632819921949317,5.83706494653114,Night,recalcitrant,Day,recalcitrant
10369,Organic acids and derivatives;Carboxylic acids and derivatives,2233,NA,7.1945523738627175,NA,NA,NA,NA,NA,NA,NA,NA,7.1945523738627175,0,Night,recalcitrant,Day,recalcitrant
