DayNight,feature_number,CCA_log2,Dictyota_log2,Pocillopora verrucosa_log2,Porites lobata_log2,Turf_log2,Water control_log2,Organism,greater,lesser,FDR_greater,FDR_lesser,activity,CCA_xic,Dictyota_xic,Pocillopora verrucosa_xic,Porites lobata_xic,Turf_xic,Water control_xic
Day,20321,-13.788598727429843,-1.9316443465308508,4.841260283754136,1.1376194373129338,-0.5045188177312211,1.4737689101457512,CCA,0.9998911028515083,1.0889714849166499e-4,0.9999999384831213,0.03207851128761763,depletolite,150618303.6048934,93465.67735448951,1000,44796.29977148374,11729.122577392922,23745.370404053247
Day,20321,-13.788598727429843,-1.9316443465308508,4.841260283754136,1.1376194373129338,-0.5045188177312211,1.4737689101457512,CCA,0.9998911028515083,1.0889714849166499e-4,0.9999999384831213,0.03207851128761763,depletolite,150618303.6048934,93465.67735448951,1000,44796.29977148374,11729.122577392922,23745.370404053247
Day,20321,-13.788598727429843,-1.9316443465308508,4.841260283754136,1.1376194373129338,-0.5045188177312211,1.4737689101457512,CCA,0.9998911028515083,1.0889714849166499e-4,0.9999999384831213,0.03207851128761763,depletolite,150618303.6048934,93465.67735448951,1000,44796.29977148374,11729.122577392922,23745.370404053247
Day,20321,-13.788598727429843,-1.9316443465308508,4.841260283754136,1.1376194373129338,-0.5045188177312211,1.4737689101457512,CCA,0.9998911028515083,1.0889714849166499e-4,0.9999999384831213,0.03207851128761763,depletolite,150618303.6048934,93465.67735448951,1000,44796.29977148374,11729.122577392922,23745.370404053247
Day,20414,-1.6526720674940205,7.96364696498068,1.8023583883017458,-1.124407355564439,-1.096829068655912,-0.7129296635046835,CCA,0.9999387289754305,6.127102456948572e-5,0.9999999384831213,0.028815579096720514,depletolite,318462.149835937,1000,58075.94772265525,385915.4554687493,162318.56383593846,233838.17903320445
Day,20414,-1.6526720674940205,7.96364696498068,1.8023583883017458,-1.124407355564439,-1.096829068655912,-0.7129296635046835,CCA,0.9999387289754305,6.127102456948572e-5,0.9999999384831213,0.028815579096720514,depletolite,318462.149835937,1000,58075.94772265525,385915.4554687493,162318.56383593846,233838.17903320445
Day,20414,-1.6526720674940205,7.96364696498068,1.8023583883017458,-1.124407355564439,-1.096829068655912,-0.7129296635046835,CCA,0.9999387289754305,6.127102456948572e-5,0.9999999384831213,0.028815579096720514,depletolite,318462.149835937,1000,58075.94772265525,385915.4554687493,162318.56383593846,233838.17903320445
Day,20414,-1.6526720674940205,7.96364696498068,1.8023583883017458,-1.124407355564439,-1.096829068655912,-0.7129296635046835,CCA,0.9999387289754305,6.127102456948572e-5,0.9999999384831213,0.028815579096720514,depletolite,318462.149835937,1000,58075.94772265525,385915.4554687493,162318.56383593846,233838.17903320445
Day,20414,-1.6526720674940205,7.96364696498068,1.8023583883017458,-1.124407355564439,-1.096829068655912,-0.7129296635046835,CCA,0.9999387289754305,6.127102456948572e-5,0.9999999384831213,0.028815579096720514,depletolite,318462.149835937,1000,58075.94772265525,385915.4554687493,162318.56383593846,233838.17903320445
Day,20414,-1.6526720674940205,7.96364696498068,1.8023583883017458,-1.124407355564439,-1.096829068655912,-0.7129296635046835,CCA,0.9999387289754305,6.127102456948572e-5,0.9999999384831213,0.028815579096720514,depletolite,318462.149835937,1000,58075.94772265525,385915.4554687493,162318.56383593846,233838.17903320445
Day,20513,-0.6318535177985893,-0.11711368903088992,0.35326238154064304,1.8939226572491088,-1.6767650624753991,0.28901582371229695,CCA,0.9995237313262664,4.762686737336417e-4,0.9999999384831213,0.04550128921546703,depletolite,152720.1307460935,188221.17693164138,104239.51760546939,38633.5360214846,133298.43125097582,174229.3932519523
Day,20513,-0.6318535177985893,-0.11711368903088992,0.35326238154064304,1.8939226572491088,-1.6767650624753991,0.28901582371229695,CCA,0.9995237313262664,4.762686737336417e-4,0.9999999384831213,0.04550128921546703,depletolite,152720.1307460935,188221.17693164138,104239.51760546939,38633.5360214846,133298.43125097582,174229.3932519523
Day,20513,-0.6318535177985893,-0.11711368903088992,0.35326238154064304,1.8939226572491088,-1.6767650624753991,0.28901582371229695,CCA,0.9995237313262664,4.762686737336417e-4,0.9999999384831213,0.04550128921546703,depletolite,152720.1307460935,188221.17693164138,104239.51760546939,38633.5360214846,133298.43125097582,174229.3932519523
Day,20513,-0.6318535177985893,-0.11711368903088992,0.35326238154064304,1.8939226572491088,-1.6767650624753991,0.28901582371229695,CCA,0.9995237313262664,4.762686737336417e-4,0.9999999384831213,0.04550128921546703,depletolite,152720.1307460935,188221.17693164138,104239.51760546939,38633.5360214846,133298.43125097582,174229.3932519523
Day,20513,-0.6318535177985893,-0.11711368903088992,0.35326238154064304,1.8939226572491088,-1.6767650624753991,0.28901582371229695,CCA,0.9995237313262664,4.762686737336417e-4,0.9999999384831213,0.04550128921546703,depletolite,152720.1307460935,188221.17693164138,104239.51760546939,38633.5360214846,133298.43125097582,174229.3932519523
Day,20513,-0.6318535177985893,-0.11711368903088992,0.35326238154064304,1.8939226572491088,-1.6767650624753991,0.28901582371229695,CCA,0.9995237313262664,4.762686737336417e-4,0.9999999384831213,0.04550128921546703,depletolite,152720.1307460935,188221.17693164138,104239.51760546939,38633.5360214846,133298.43125097582,174229.3932519523
Day,2139,-2.1228446275421637,-3.9697933223887696,-2.0819918391543975,-4.0386317769715445,-2.8786266795287876,-2.303171312703741,CCA,0.9999149405076311,8.505949236892604e-5,0.9999999384831213,0.03147850148032436,depletolite,3511585.1883535273,12266886.394107426,4778444.616298843,11479026.76187889,3761075.740970712,4702041.749492172
Day,2139,-2.1228446275421637,-3.9697933223887696,-2.0819918391543975,-4.0386317769715445,-2.8786266795287876,-2.303171312703741,CCA,0.9999149405076311,8.505949236892604e-5,0.9999999384831213,0.03147850148032436,depletolite,3511585.1883535273,12266886.394107426,4778444.616298843,11479026.76187889,3761075.740970712,4702041.749492172
Day,2139,-2.1228446275421637,-3.9697933223887696,-2.0819918391543975,-4.0386317769715445,-2.8786266795287876,-2.303171312703741,CCA,0.9999149405076311,8.505949236892604e-5,0.9999999384831213,0.03147850148032436,depletolite,3511585.1883535273,12266886.394107426,4778444.616298843,11479026.76187889,3761075.740970712,4702041.749492172
Day,2139,-2.1228446275421637,-3.9697933223887696,-2.0819918391543975,-4.0386317769715445,-2.8786266795287876,-2.303171312703741,CCA,0.9999149405076311,8.505949236892604e-5,0.9999999384831213,0.03147850148032436,depletolite,3511585.1883535273,12266886.394107426,4778444.616298843,11479026.76187889,3761075.740970712,4702041.749492172
Day,2139,-2.1228446275421637,-3.9697933223887696,-2.0819918391543975,-4.0386317769715445,-2.8786266795287876,-2.303171312703741,CCA,0.9999149405076311,8.505949236892604e-5,0.9999999384831213,0.03147850148032436,depletolite,3511585.1883535273,12266886.394107426,4778444.616298843,11479026.76187889,3761075.740970712,4702041.749492172
Day,2139,-2.1228446275421637,-3.9697933223887696,-2.0819918391543975,-4.0386317769715445,-2.8786266795287876,-2.303171312703741,CCA,0.9999149405076311,8.505949236892604e-5,0.9999999384831213,0.03147850148032436,depletolite,3511585.1883535273,12266886.394107426,4778444.616298843,11479026.76187889,3761075.740970712,4702041.749492172
Day,2269,-2.848093225950781,-1.7694461540869277,-1.1869073564549024,-1.4645284545772566,-1.311879361584125,-4.17009255061342,CCA,0.9995184826797325,4.8151732026754875e-4,0.9999999384831213,0.0455021324739407,depletolite,9668999.8742968,8947916.172863323,6923440.720031222,6068743.529169917,5573543.240421931,21779560.28142389
Day,2269,-2.848093225950781,-1.7694461540869277,-1.1869073564549024,-1.4645284545772566,-1.311879361584125,-4.17009255061342,CCA,0.9995184826797325,4.8151732026754875e-4,0.9999999384831213,0.0455021324739407,depletolite,9668999.8742968,8947916.172863323,6923440.720031222,6068743.529169917,5573543.240421931,21779560.28142389
Day,2269,-2.848093225950781,-1.7694461540869277,-1.1869073564549024,-1.4645284545772566,-1.311879361584125,-4.17009255061342,CCA,0.9995184826797325,4.8151732026754875e-4,0.9999999384831213,0.0455021324739407,depletolite,9668999.8742968,8947916.172863323,6923440.720031222,6068743.529169917,5573543.240421931,21779560.28142389
Day,2269,-2.848093225950781,-1.7694461540869277,-1.1869073564549024,-1.4645284545772566,-1.311879361584125,-4.17009255061342,CCA,0.9995184826797325,4.8151732026754875e-4,0.9999999384831213,0.0455021324739407,depletolite,9668999.8742968,8947916.172863323,6923440.720031222,6068743.529169917,5573543.240421931,21779560.28142389
Day,2269,-2.848093225950781,-1.7694461540869277,-1.1869073564549024,-1.4645284545772566,-1.311879361584125,-4.17009255061342,CCA,0.9995184826797325,4.8151732026754875e-4,0.9999999384831213,0.0455021324739407,depletolite,9668999.8742968,8947916.172863323,6923440.720031222,6068743.529169917,5573543.240421931,21779560.28142389
Day,2269,-2.848093225950781,-1.7694461540869277,-1.1869073564549024,-1.4645284545772566,-1.311879361584125,-4.17009255061342,CCA,0.9995184826797325,4.8151732026754875e-4,0.9999999384831213,0.0455021324739407,depletolite,9668999.8742968,8947916.172863323,6923440.720031222,6068743.529169917,5573543.240421931,21779560.28142389
Day,2364,-3.328776566855538,-3.0850552971854577,-0.9685176590477801,-1.919803280716046,-3.2931098115581734,-4.12512382193382,CCA,0.9997441430021745,2.558569978254838e-4,0.9999999384831213,0.03874185563351093,depletolite,33522685.13857632,51526604.90626555,46424616.75007421,24809658.627713054,58012982.463011876,72267848.14881685
Day,2364,-3.328776566855538,-3.0850552971854577,-0.9685176590477801,-1.919803280716046,-3.2931098115581734,-4.12512382193382,CCA,0.9997441430021745,2.558569978254838e-4,0.9999999384831213,0.03874185563351093,depletolite,33522685.13857632,51526604.90626555,46424616.75007421,24809658.627713054,58012982.463011876,72267848.14881685
Day,2364,-3.328776566855538,-3.0850552971854577,-0.9685176590477801,-1.919803280716046,-3.2931098115581734,-4.12512382193382,CCA,0.9997441430021745,2.558569978254838e-4,0.9999999384831213,0.03874185563351093,depletolite,33522685.13857632,51526604.90626555,46424616.75007421,24809658.627713054,58012982.463011876,72267848.14881685
Day,2364,-3.328776566855538,-3.0850552971854577,-0.9685176590477801,-1.919803280716046,-3.2931098115581734,-4.12512382193382,CCA,0.9997441430021745,2.558569978254838e-4,0.9999999384831213,0.03874185563351093,depletolite,33522685.13857632,51526604.90626555,46424616.75007421,24809658.627713054,58012982.463011876,72267848.14881685
Day,2364,-3.328776566855538,-3.0850552971854577,-0.9685176590477801,-1.919803280716046,-3.2931098115581734,-4.12512382193382,CCA,0.9997441430021745,2.558569978254838e-4,0.9999999384831213,0.03874185563351093,depletolite,33522685.13857632,51526604.90626555,46424616.75007421,24809658.627713054,58012982.463011876,72267848.14881685
Day,2364,-3.328776566855538,-3.0850552971854577,-0.9685176590477801,-1.919803280716046,-3.2931098115581734,-4.12512382193382,CCA,0.9997441430021745,2.558569978254838e-4,0.9999999384831213,0.03874185563351093,depletolite,33522685.13857632,51526604.90626555,46424616.75007421,24809658.627713054,58012982.463011876,72267848.14881685
Day,2371,-4.64438007407717,-4.904048861759683,-0.16491161182869687,-1.8722326614323628,-2.675001393085706,-3.9800307240276562,CCA,0.9997491683843791,2.5083161562096693e-4,0.9999999384831213,0.03854030325067721,depletolite,49736039.97750017,49925379.26782031,47326584.547760904,20614636.787023637,57913637.19653534,55709199.69168747
Day,2371,-4.64438007407717,-4.904048861759683,-0.16491161182869687,-1.8722326614323628,-2.675001393085706,-3.9800307240276562,CCA,0.9997491683843791,2.5083161562096693e-4,0.9999999384831213,0.03854030325067721,depletolite,49736039.97750017,49925379.26782031,47326584.547760904,20614636.787023637,57913637.19653534,55709199.69168747
Day,2371,-4.64438007407717,-4.904048861759683,-0.16491161182869687,-1.8722326614323628,-2.675001393085706,-3.9800307240276562,CCA,0.9997491683843791,2.5083161562096693e-4,0.9999999384831213,0.03854030325067721,depletolite,49736039.97750017,49925379.26782031,47326584.547760904,20614636.787023637,57913637.19653534,55709199.69168747
Day,2371,-4.64438007407717,-4.904048861759683,-0.16491161182869687,-1.8722326614323628,-2.675001393085706,-3.9800307240276562,CCA,0.9997491683843791,2.5083161562096693e-4,0.9999999384831213,0.03854030325067721,depletolite,49736039.97750017,49925379.26782031,47326584.547760904,20614636.787023637,57913637.19653534,55709199.69168747
