feature_number,network,activity,num_features,DayNight.x,NOSC,quadrant,combined_ID,binary_ID,min_nosc,max_nosc,C,H,N,O,P,nc,pc,min_log2,max_log2,molnet_string,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,Water control,num_organism,CCA_produced,Dictyota_produced,Pocillopora verrucosa_produced,Porites lobata_produced,Turf_produced,dorcierr,unique_organism,DayNight.y
14414,10,recalcitrant,27,NA,NA,NA,GlcNAc1-3Gal1-4Glc-Sp,2,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,-8.293640737259375,9.601541615892808,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,yes,no,no,no,yes,NA,NA
14493,10,recalcitrant,27,NA,NA,NA,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,-8.86146740170942,9.691580437221607,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,yes,no,no,no,yes,NA,NA
14533,10,recalcitrant,27,NA,-0.666666666666667,NA,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,-0.666666666666667,-0.666666666666667,27,52,3,15,1,0.1111111111111111,0.037037037037037035,-8.36533966820215,9.193551710442774,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,yes,no,no,no,yes,NA,NA
15289,10,recalcitrant,27,NA,NA,NA,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,-7.670909939729536,9.137314841343867,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,yes,no,no,no,yes,NA,NA
15341,10,recalcitrant,27,NA,NA,NA,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,-6.631927205219095,9.5335289836248709,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,yes,no,no,no,yes,NA,NA
15618,10,recalcitrant,27,NA,NA,NA,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,-7.287638368260213,9.006309835832207,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,yes,no,no,no,yes,NA,NA
4226,13,recalcitrant,47,NA,-0.8235294117647056,NA,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,-0.8235294117647056,-0.8235294117647056,17,25,1,4,0,0.058823529411764705,0,-10.405231443741306,2.006699566128883,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dictyota,Day
3032,17,recalcitrant,40,NA,-1,NA,Palmitoyl 3-carbacyclic phosphatidic acid,2,-1,-1,22,35,1,5,0,0.045454545454545456,0,-10.509691162275644,3.207927139132934,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,2,no,yes,no,yes,no,yes,NA,NA
3900,17,recalcitrant,40,NA,-0.9090909090909092,NA,"N-(1,1-Dimethyl-2-hydroxyethyl)-3-amino-2-hydroxypropanesulfonic acid",2,-0.9090909090909092,-0.9090909090909092,22,35,1,6,0,0.045454545454545456,0,-12.935900344774895,4.754602326059505,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,yes,no,no,no,yes,NA,NA
7036,17,recalcitrant,40,NA,-1.3529411764705879,NA,"Butanoic acid, 4-[(1,2-dioxohexadecyl)amino]-, ethyl ester",2,-1.3529411764705879,-1.3529411764705879,17,34,2,5,1,0.11764705882352941,0.058823529411764705,-8.911784763737897,1.9241080530258332,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,no,yes,no,no,yes,Pocillopora verrucosa,Day
