Plate Name,Gate Name,Table Code,sample_name,Organism,DayNight,Timepoint,Replicate,Event Count,Mean SSC,Mean SYBR,Cells µL-1,% Parent,% Total
DORCIERR_T4D-TFD,SYBR Polygon,D12,D_TR_4_T5D,Turf,Day,T5,4,37721,1653.928955,168632.578125,769.816327,0.84673057,0.84673057
DORCIERR_T4D-TFD,SYBR Polygon,E1,D_WA_1_T6D,Water control,Day,T6,1,21080,1941.69043,173042.703125,421.6,0.7223136,0.7223136
DORCIERR_T4D-TFD,SYBR Polygon,E2,D_WA_2_T6D,Water control,Day,T6,2,22837,1838.381348,189473.375,466.061224,0.7291739800000001,0.7291739800000001
DORCIERR_T4D-TFD,SYBR Polygon,E3,D_WA_3_T6D,Water control,Day,T6,3,22026,1814.750854,194292.953125,449.510204,0.76740297,0.76740297
DORCIERR_T4D-TFD,SYBR Polygon,E4,D_WA_4_T6D,Water control,Day,T6,4,24699,1798.919434,205295.8125,493.98,0.7886267100000001,0.7886267100000001
DORCIERR_T4D-TFD,SYBR Polygon,E9,D_CC_1_T6D,CCA,Day,T6,1,29591,1792.589966,191049.65625,603.897959,0.83846197,0.83846197
DORCIERR_T4D-TFD,SYBR Polygon,E10,D_CC_2_T6D,CCA,Day,T6,2,29386,1810.943359,188604.828125,599.714286,0.85157065,0.85157065
DORCIERR_T4D-TFD,SYBR Polygon,E11,D_CC_3_T6D,CCA,Day,T6,3,29941,1811.237427,196681.28125,611.040816,0.86188434,0.86188434
DORCIERR_T4D-TFD,SYBR Polygon,E12,D_CC_4_T6D,CCA,Day,T6,4,29942,1759.550171,192292.34375,598.84,0.86755715,0.86755715
DORCIERR_T4D-TFD,SYBR Polygon,F1,D_DT_1_T6D,Dictyota,Day,T6,1,38554,1782.573242,191942.78125,786.816327,0.84665217,0.84665217
DORCIERR_T4D-TFD,SYBR Polygon,F2,D_DT_2_T6D,Dictyota,Day,T6,2,38562,1786.567017,201957.5,786.979592,0.8594927099999999,0.8594927099999999
DORCIERR_T4D-TFD,SYBR Polygon,F3,D_DT_3_T6D,Dictyota,Day,T6,3,39773,1725.536133,195078.65625,811.693878,0.85656753,0.85656753
DORCIERR_T4D-TFD,SYBR Polygon,F4,D_DT_4_T6D,Dictyota,Day,T6,4,39003,1720.896362,184256.671875,795.979592,0.84090811,0.84090811
DORCIERR_T4D-TFD,SYBR Polygon,F5,D_PV_1_T6D,Pocillopora verrucosa,Day,T6,1,38006,1839.444092,205636.625,775.632653,0.86255731,0.86255731
DORCIERR_T4D-TFD,SYBR Polygon,F6,D_PV_2_T6D,Pocillopora verrucosa,Day,T6,2,40191,1791.22583,201499.828125,820.22449,0.8811110600000001,0.8811110600000001
DORCIERR_T4D-TFD,SYBR Polygon,F7,D_PV_3_T6D,Pocillopora verrucosa,Day,T6,3,42893,1829.596313,197487.5,857.86,0.88184622,0.88184622
DORCIERR_T4D-TFD,SYBR Polygon,F8,D_PV_4_T6D,Pocillopora verrucosa,Day,T6,4,39956,1811.917847,201354.671875,799.12,0.88380632,0.88380632
DORCIERR_T4D-TFD,SYBR Polygon,E5,D_PL_1_T6D,Porites lobata,Day,T6,1,28793,1688.963745,195052.140625,587.612245,0.8635913700000001,0.8635913700000001
DORCIERR_T4D-TFD,SYBR Polygon,E6,D_PL_2_T6D,Porites lobata,Day,T6,2,28433,1781.656372,194683.46875,568.66,0.85502496,0.85502496
DORCIERR_T4D-TFD,SYBR Polygon,E7,D_PL_3_T6D,Porites lobata,Day,T6,3,28335,1739.457275,195589.125,566.7,0.87402449,0.87402449
