Tree#	Groups	WScore	
1	D_CC_4_TFN-D_DT_2_T0N	0.494205
1	D_DT_1_T0D-D_DT_2_T0N	0.136863
1	D_DT_1_T0N-D_DT_2_T0N	0.060219
1	D_DT_1_TFN-D_DT_2_T0N	0.419156
1	D_DT_2_T0D-D_DT_2_T0N	0.141531
1	AL_2_T1-D_DT_2_TFD	0.743421
1	AL_2_T3-D_DT_2_TFD	0.492869
1	AR_2_T2-D_DT_2_TFD	0.296392
1	AW_2_T1-D_DT_2_TFD	0.401349
1	AW_2_T2-D_DT_2_TFD	0.345238
1	AW_2_T3-D_DT_2_TFD	0.470829
1	CL_2_T1-D_DT_2_TFD	0.612406
1	CL_2_T2-D_DT_2_TFD	0.358016
1	CR_2_T3-D_DT_2_TFD	0.464461
1	DORCIERR_D_WA_2_TFN-D_DT_2_TFD	0.466324
1	D_CC_1_T0D-D_DT_2_TFD	0.287625
1	D_CC_1_T0N-D_DT_2_TFD	0.469976
1	D_CC_1_TFD-D_DT_2_TFD	0.189371
1	D_CC_1_TFN-D_DT_2_TFD	0.301629
1	D_CC_2_T0D-D_DT_2_TFD	0.357231
1	D_CC_2_T0N-D_DT_2_TFD	0.494904
1	D_CC_2_TFD-D_DT_2_TFD	0.155576
1	D_CC_2_TFN-D_DT_2_TFD	0.154346
1	D_CC_3_TFD-D_DT_2_TFD	0.143123
1	D_CC_3_TFN-D_DT_2_TFD	0.224439
1	D_CC_4_TFD-D_DT_2_TFD	0.152251
1	D_CC_4_TFN-D_DT_2_TFD	0.369900
1	D_DT_1_T0D-D_DT_2_TFD	0.342529
1	D_DT_1_T0N-D_DT_2_TFD	0.419416
1	D_DT_1_TFN-D_DT_2_TFD	0.269867
1	D_DT_2_T0D-D_DT_2_TFD	0.347303
1	D_DT_2_T0N-D_DT_2_TFD	0.394735
1	AL_2_T1-D_DT_2_TFN	0.768800
1	AL_2_T3-D_DT_2_TFN	0.472651
1	AR_2_T2-D_DT_2_TFN	0.418888
1	AW_2_T1-D_DT_2_TFN	0.410487
1	AW_2_T2-D_DT_2_TFN	0.480968
1	AW_2_T3-D_DT_2_TFN	0.579492
1	CL_2_T1-D_DT_2_TFN	0.552585
1	CL_2_T2-D_DT_2_TFN	0.421733
1	CR_2_T3-D_DT_2_TFN	0.471157
1	DORCIERR_D_WA_2_TFN-D_DT_2_TFN	0.280239
1	D_CC_1_T0D-D_DT_2_TFN	0.354351
1	D_CC_1_T0N-D_DT_2_TFN	0.503989
1	D_CC_1_TFD-D_DT_2_TFN	0.383305
1	D_CC_1_TFN-D_DT_2_TFN	0.152094
1	D_CC_2_T0D-D_DT_2_TFN	0.411693
1	D_CC_2_T0N-D_DT_2_TFN	0.519795
1	D_CC_2_TFD-D_DT_2_TFN	0.354351
1	D_CC_2_TFN-D_DT_2_TFN	0.227108
1	D_CC_3_TFD-D_DT_2_TFN	0.335553
1	D_CC_3_TFN-D_DT_2_TFN	0.157529
1	D_CC_4_TFD-D_DT_2_TFN	0.348720
1	D_CC_4_TFN-D_DT_2_TFN	0.171724
1	D_DT_1_T0D-D_DT_2_TFN	0.470051
1	D_DT_1_T0N-D_DT_2_TFN	0.445124
1	D_DT_1_TFN-D_DT_2_TFN	0.059418
1	D_DT_2_T0D-D_DT_2_TFN	0.474467
1	D_DT_2_T0N-D_DT_2_TFN	0.428212
1	D_DT_2_TFD-D_DT_2_TFN	0.276204
1	AL_2_T1-D_DT_3_TFD	0.763482
1	AL_2_T3-D_DT_3_TFD	0.509508
1	AR_2_T2-D_DT_3_TFD	0.288384
1	AW_2_T1-D_DT_3_TFD	0.411544
1	AW_2_T2-D_DT_3_TFD	0.326325
1	AW_2_T3-D_DT_3_TFD	0.462481
1	CL_2_T1-D_DT_3_TFD	0.631204
1	CL_2_T2-D_DT_3_TFD	0.368675
1	CR_2_T3-D_DT_3_TFD	0.477871
1	DORCIERR_D_WA_2_TFN-D_DT_3_TFD	0.484067
1	D_CC_1_T0D-D_DT_3_TFD	0.276882
1	D_CC_1_T0N-D_DT_3_TFD	0.453465
1	D_CC_1_TFD-D_DT_3_TFD	0.164114
1	D_CC_1_TFN-D_DT_3_TFD	0.319062
1	D_CC_2_T0D-D_DT_3_TFD	0.341774
1	D_CC_2_T0N-D_DT_3_TFD	0.479095
1	D_CC_2_TFD-D_DT_3_TFD	0.134876
1	D_CC_2_TFN-D_DT_3_TFD	0.165969
1	D_CC_3_TFD-D_DT_3_TFD	0.117261
1	D_CC_3_TFN-D_DT_3_TFD	0.238465
1	D_CC_4_TFD-D_DT_3_TFD	0.123957
1	D_CC_4_TFN-D_DT_3_TFD	0.387385
1	D_DT_1_T0D-D_DT_3_TFD	0.328213
1	D_DT_1_T0N-D_DT_3_TFD	0.403275
1	D_DT_1_TFN-D_DT_3_TFD	0.287081
1	D_DT_2_T0D-D_DT_3_TFD	0.333195
1	D_DT_2_T0N-D_DT_3_TFD	0.378570
1	D_DT_2_TFD-D_DT_3_TFD	0.041892
1	D_DT_2_TFN-D_DT_3_TFD	0.289986
1	AL_2_T1-D_DT_3_TFN	0.702731
1	AL_2_T3-D_DT_3_TFN	0.425462
1	AR_2_T2-D_DT_3_TFN	0.416937
1	AW_2_T1-D_DT_3_TFN	0.431256
1	AW_2_T2-D_DT_3_TFN	0.491999
1	AW_2_T3-D_DT_3_TFN	0.596935
1	CL_2_T1-D_DT_3_TFN	0.483349
1	CL_2_T2-D_DT_3_TFN	0.414239
1	CR_2_T3-D_DT_3_TFN	0.449309
1	DORCIERR_D_WA_2_TFN-D_DT_3_TFN	0.293498
1	D_CC_1_T0D-D_DT_3_TFN	0.359165
1	D_CC_1_T0N-D_DT_3_TFN	0.532820
1	D_CC_1_TFD-D_DT_3_TFN	0.426599
1	D_CC_1_TFN-D_DT_3_TFN	0.200237
1	D_CC_2_T0D-D_DT_3_TFN	0.454320
1	D_CC_2_T0N-D_DT_3_TFN	0.547802
1	D_CC_2_TFD-D_DT_3_TFN	0.398441
1	D_CC_2_TFN-D_DT_3_TFN	0.286074
1	D_CC_3_TFD-D_DT_3_TFN	0.383051
1	D_CC_3_TFN-D_DT_3_TFN	0.210073
1	D_CC_4_TFD-D_DT_3_TFN	0.396924
1	D_CC_4_TFN-D_DT_3_TFN	0.190567
1	D_DT_1_T0D-D_DT_3_TFN	0.486844
1	D_DT_1_T0N-D_DT_3_TFN	0.476423
1	D_DT_1_TFN-D_DT_3_TFN	0.109320
1	D_DT_2_T0D-D_DT_3_TFN	0.494062
1	D_DT_2_T0N-D_DT_3_TFN	0.460448
1	D_DT_2_TFD-D_DT_3_TFN	0.287754
1	D_DT_2_TFN-D_DT_3_TFN	0.137183
1	D_DT_3_TFD-D_DT_3_TFN	0.310339
1	AL_2_T1-D_DT_4_TFD	0.745094
1	AL_2_T3-D_DT_4_TFD	0.491212
1	AR_2_T2-D_DT_4_TFD	0.281864
1	AW_2_T1-D_DT_4_TFD	0.403575
1	AW_2_T2-D_DT_4_TFD	0.339711
1	AW_2_T3-D_DT_4_TFD	0.468420
1	CL_2_T1-D_DT_4_TFD	0.614763
1	CL_2_T2-D_DT_4_TFD	0.352092
1	CR_2_T3-D_DT_4_TFD	0.462509
1	DORCIERR_D_WA_2_TFN-D_DT_4_TFD	0.475151
1	D_CC_1_T0D-D_DT_4_TFD	0.265048
1	D_CC_1_T0N-D_DT_4_TFD	0.453021
1	D_CC_1_TFD-D_DT_4_TFD	0.186453
1	D_CC_1_TFN-D_DT_4_TFD	0.308068
1	D_CC_2_T0D-D_DT_4_TFD	0.339163
1	D_CC_2_T0N-D_DT_4_TFD	0.478449
1	D_CC_2_TFD-D_DT_4_TFD	0.160126
1	D_CC_2_TFN-D_DT_4_TFD	0.156211
1	D_CC_3_TFD-D_DT_4_TFD	0.141963
1	D_CC_3_TFN-D_DT_4_TFD	0.229355
1	D_CC_4_TFD-D_DT_4_TFD	0.149651
1	D_CC_4_TFN-D_DT_4_TFD	0.376389
1	D_DT_1_T0D-D_DT_4_TFD	0.324188
1	D_DT_1_T0N-D_DT_4_TFD	0.401343
1	D_DT_1_TFN-D_DT_4_TFD	0.278179
1	D_DT_2_T0D-D_DT_4_TFD	0.329903
1	D_DT_2_T0N-D_DT_4_TFD	0.377012
1	D_DT_2_TFD-D_DT_4_TFD	0.038107
1	D_DT_2_TFN-D_DT_4_TFD	0.281785
1	D_DT_3_TFD-D_DT_4_TFD	0.043050
1	D_DT_3_TFN-D_DT_4_TFD	0.295015
1	AL_2_T1-D_DT_4_TFN	0.721596
1	AL_2_T3-D_DT_4_TFN	0.442241
1	AR_2_T2-D_DT_4_TFN	0.404528
1	AW_2_T1-D_DT_4_TFN	0.412872
1	AW_2_T2-D_DT_4_TFN	0.477397
1	AW_2_T3-D_DT_4_TFN	0.577892
